lb,rp,top_n,cagr,sharpe,max_dd,final_val
9,2,2,0.16756834146621902,0.7609517205899612,-0.2393852898179938,1118105.216549901
9,3,1,0.20136276130510788,0.7714647541523482,-0.21527902710700142,1744171.101027378
9,3,2,0.1839689276822858,0.8607445981020877,-0.18693653769692908,1389589.1576918776
9,4,1,0.17630726030454658,0.6599977803679152,-0.23287357725898702,1255881.8480672059
9,4,2,0.15601772457361274,0.6673613524132627,-0.20987744533202546,957627.6595720797
9,5,1,0.18926458523975764,0.7200908386042847,-0.2374329188449482,1489668.881311335
9,5,2,0.1802995305534063,0.8115649111381632,-0.1968175390951908,1323972.5651426823
9,6,1,0.1502318862889056,0.5148969410352393,-0.23519359619200653,885603.2328275372
9,6,2,0.1898452351782034,0.8945264537776657,-0.21253454796838012,1501043.3940925193
9,8,1,0.15971096675893004,0.557761955747475,-0.2314825115213498,1006430.5782520034
9,8,2,0.14856930870839258,0.6391097087501879,-0.21824471915962768,865864.2561360116
9,12,1,0.09280880422400029,0.19445391139161602,-0.29217406888660535,398700.59776795935
9,12,2,0.16412345914295923,0.7048071278365188,-0.18444016761524082,1067788.0531696002
10,1,1,0.14050829650792962,0.4102406216220664,-0.36847738597263857,775861.4277818393
10,1,2,0.14122851504376177,0.5661986811899216,-0.22419019994976552,783531.7081003963
10,2,1,0.15629651391718702,0.517846236621357,-0.27381848561908745,961232.8862886152
10,2,2,0.15803360546460987,0.6798116570485597,-0.20000198579563433,983984.1805951925
10,3,1,0.18301236612844085,0.659635415608981,-0.23272659058821016,1372196.6289805523
10,3,2,0.17127771468322806,0.7627318874501922,-0.20993909946941935,1174761.7585933509
10,4,1,0.17265259913544662,0.627175464557888,-0.23287357725898702,1196435.6821636688
10,4,2,0.1620450340953743,0.698346681743877,-0.20987744533202546,1038463.2039467181
10,5,1,0.1930263638100136,0.7326067011842181,-0.2397900309756448,1564815.4947170154
10,5,2,0.16956575330364698,0.7505348982122108,-0.2127582951922757,1148287.630346089
10,6,1,0.17229653833065406,0.61978847002824,-0.23519359619200653,1190787.0507527716
10,6,2,0.1914245759112665,0.9014050340271874,-0.21253454796838012,1532394.093974454
10,8,1,0.13891336301210488,0.44342324112816534,-0.2750467208156461,759124.8894287607
10,8,2,0.14503341621476884,0.5982947080349904,-0.21824471915962768,825245.2079879536
10,12,1,0.1034036048736997,0.24674700211486505,-0.2921740688866056,463387.56614682026
10,12,2,0.16792824736602285,0.7239007872703079,-0.1844401676152409,1123488.237964523
11,1,1,0.1650620430417582,0.5546543699701992,-0.3820191243421247,1081283.1029946322
11,1,2,0.1579949329100776,0.6858129389715498,-0.21784048713583418,983472.2342758859
