Ticker,Entry Date,Exit Date,S_entry,K1_Long,K2_Short,HV,IV_Rank,Debit/unit,Units,Total Debit,S_expiry,Breakeven,PnL/unit,PnL Total,Return %,Win,Score,Sig1_CheapVol,Sig2_Trend,Sig3_RSI,Sig4_Volume,Sig5_ATR,Capital_After
AAREYDRUGS.NS,2024-07-25,2024-08-26,50.54,50,55,0.3492,,1.79,354,633.13,63.43,51.79,3.21,1136.87,179.56,True,3,0,1,0,1,1,32876.16
AAREYDRUGS.NS,2024-08-07,2024-09-06,51.42,50,55,0.3934,,2.12,309,655.88,70.69,52.12,2.88,889.12,135.56,True,3,0,1,1,1,0,33765.27
AAREYDRUGS.NS,2024-08-19,2024-09-17,61.2,60,65,0.5023,,2.14,315,673.41,69.38,62.14,2.86,901.59,133.89,True,3,0,1,0,1,1,34666.87
AAREYDRUGS.NS,2024-08-28,2024-09-26,66.23,65,70,0.5764,0.853,2.17,320,693.02,69.69,67.17,2.52,807.78,116.56,True,3,0,1,0,1,1,35474.65
AAREYDRUGS.NS,2024-08-30,2024-09-30,69.38,70,75,0.6761,0.861,1.91,371,709.42,70.88,71.91,-1.03,-382.94,-53.98,False,3,0,1,0,1,1,35091.71
AAREYDRUGS.NS,2024-09-26,2024-10-28,69.69,70,75,0.3428,0.211,1.74,403,700.22,57.66,71.74,-1.74,-700.22,-100.0,False,3,1,1,1,0,0,34391.49
AAREYDRUGS.NS,2024-12-02,2025-01-01,62.25,60,65,0.4597,0.701,2.38,288,685.91,57.52,62.38,-2.38,-685.91,-100.0,False,3,0,1,1,1,0,33705.57
AAREYDRUGS.NS,2025-01-03,2025-02-01,59.61,60,65,0.2392,0.012,1.35,499,673.68,48.71,61.35,-1.35,-673.68,-100.0,False,3,1,1,1,0,0,33031.89
AAREYDRUGS.NS,2025-01-22,2025-02-19,50.63,50,55,0.2823,0.064,1.72,383,659.72,41.59,51.72,-1.72,-659.72,-100.0,False,3,1,0,0,1,1,32372.17
AAREYDRUGS.NS,2025-05-19,2025-06-17,56.51,55,60,0.3028,0.155,2.15,301,646.73,56.25,57.15,-0.9,-270.48,-41.82,False,3,1,1,1,0,0,32101.7
AAREYDRUGS.NS,2025-06-23,2025-07-22,59.79,60,65,0.4711,0.737,1.81,355,641.78,67.1,61.81,3.19,1133.22,176.57,True,3,0,1,0,1,1,33234.92
AAREYDRUGS.NS,2025-06-24,2025-07-23,61.96,60,65,0.4803,0.749,2.31,287,662.56,68.44,62.31,2.69,772.44,116.58,True,3,0,1,0,1,1,34007.35
AAREYDRUGS.NS,2025-08-05,2025-09-05,70.01,70,75,0.3024,0.171,1.76,385,679.12,69.31,71.76,-1.76,-679.12,-100.0,False,3,1,1,0,0,1,33328.24
AAREYDRUGS.NS,2025-08-08,2025-09-10,66.84,65,70,0.3073,0.199,2.31,288,664.95,72.69,67.31,2.69,775.05,116.56,True,3,1,1,0,0,1,34103.29
AAREYDRUGS.NS,2025-08-11,2025-09-11,65.89,65,70,0.3036,0.195,2.0,341,680.96,73.8,67.0,3.0,1024.04,150.38,True,3,1,1,0,0,1,35127.32
AAREYDRUGS.NS,2025-08-12,2025-09-12,65.79,65,70,0.2964,0.139,1.96,359,702.45,73.41,66.96,3.04,1092.55,155.53,True,3,1,1,0,0,1,36219.87
AAREYDRUGS.NS,2025-08-13,2025-09-15,64.51,65,70,0.2959,0.139,1.54,469,723.63,71.71,66.54,3.46,1621.37,224.06,True,3,1,1,0,0,1,37841.24
AAREYDRUGS.NS,2025-08-14,2025-09-16,65.8,65,70,0.2968,0.147,1.96,386,756.73,71.23,66.96,3.04,1173.27,155.04,True,4,1,1,1,0,1,39014.51
AAREYDRUGS.NS,2025-08-18,2025-09-17,65.48,65,70,0.2958,0.139,1.85,420,778.53,70.69,66.85,3.15,1321.47,169.74,True,3,1,1,0,0,1,40335.98
AAREYDRUGS.NS,2025-08-19,2025-09-18,65.7,65,70,0.2959,0.147,1.93,418,805.2,74.22,66.93,3.07,1284.8,159.56,True,3,1,1,0,0,1,41620.78
AAREYDRUGS.NS,2025-08-20,2025-09-19,65.08,65,70,0.2881,0.112,1.71,487,832.39,77.6,66.71,3.29,1602.61,192.53,True,3,1,1,0,0,1,43223.39
AAREYDRUGS.NS,2025-08-21,2025-09-22,64.55,65,70,0.2775,0.052,1.51,571,863.34,79.29,66.51,3.49,1991.66,230.69,True,3,1,1,0,0,1,45215.05
AAREYDRUGS.NS,2025-10-28,2025-11-27,91.29,90,95,0.249,0.028,2.21,409,903.59,88.19,92.21,-2.21,-903.59,-100.0,False,3,1,1,0,1,0,44311.46
AAREYDRUGS.NS,2025-11-03,2025-12-03,96.25,95,100,0.2161,0.0,2.2,403,884.96,77.36,97.2,-2.2,-884.96,-100.0,False,3,1,1,0,1,0,43426.5
AAREYDRUGS.NS,2025-11-10,2025-12-09,98.99,100,105,0.2036,0.0,1.5,577,867.47,68.24,101.5,-1.5,-867.47,-100.0,False,4,1,1,0,1,1,42559.03
AAREYDRUGS.NS,2025-11-24,2025-12-23,89.56,90,95,0.2831,0.175,1.78,478,850.46,72.28,91.78,-1.78,-850.46,-100.0,False,3,1,1,0,1,0,41708.56
AAREYDRUGS.NS,2025-11-25,2025-12-24,90.9,90,95,0.2817,0.151,2.12,393,833.57,72.3,92.12,-2.12,-833.57,-100.0,False,3,1,1,0,0,1,40874.99
AAREYDRUGS.NS,2025-11-26,2025-12-26,88.7,90,95,0.2858,0.187,1.57,519,816.91,70.77,91.57,-1.57,-816.91,-100.0,False,3,1,1,0,0,1,40058.08
AAREYDRUGS.NS,2025-11-27,2025-12-29,88.19,90,95,0.2749,0.124,1.42,562,800.01,67.83,91.42,-1.42,-800.01,-100.0,False,4,1,1,0,1,1,39258.07
AAREYDRUGS.NS,2025-12-01,2025-12-31,85.73,85,90,0.2694,0.12,2.04,384,783.34,67.67,87.04,-2.04,-783.34,-100.0,False,3,1,0,0,1,1,38474.73
AAREYDRUGS.NS,2026-02-12,2026-03-16,70.94,70,75,0.563,0.904,2.13,360,767.48,62.81,72.13,-2.13,-767.48,-100.0,False,3,0,1,0,1,1,37707.25
AAREYDRUGS.NS,2026-02-18,2026-03-20,71.27,70,75,0.6309,0.912,2.18,345,753.26,69.28,72.18,-2.18,-753.26,-100.0,False,4,0,1,1,1,1,36953.99
AAREYDRUGS.NS,2026-04-28,2026-05-28,95.19,95,100,0.7385,0.817,2.11,350,737.22,79.73,97.11,-2.11,-737.22,-100.0,False,3,0,1,0,1,1,36216.77
AAREYDRUGS.NS,2026-06-08,2026-07-07,79.91,80,85,0.3265,0.247,1.86,390,723.99,87.99,81.86,3.14,1226.01,169.34,True,3,1,1,0,1,0,37442.78
AARON.NS,2023-08-17,2023-09-15,128.33,130,135,0.2563,,1.72,434,748.24,126.7,131.72,-1.72,-748.24,-100.0,False,3,0,1,0,1,1,36694.54
AARON.NS,2023-08-18,2023-09-18,134.74,135,140,0.2942,,2.06,356,733.14,125.21,137.06,-2.06,-733.14,-100.0,False,3,0,1,0,1,1,35961.41
AARON.NS,2023-08-21,2023-09-20,141.47,140,150,0.3191,,4.0,179,715.38,124.96,144.0,-4.0,-715.38,-100.0,False,3,0,1,0,1,1,35246.03
AARON.NS,2023-08-22,2023-09-21,139.54,140,145,0.3295,,2.07,340,704.06,125.21,142.07,-2.07,-704.06,-100.0,False,3,0,1,0,1,1,34541.97
AARON.NS,2023-10-03,2023-11-02,129.04,130,135,0.2446,,1.84,375,690.04,127.92,131.84,-1.84,-690.04,-100.0,False,4,0,1,1,1,1,33851.93
AARON.NS,2023-10-04,2023-11-03,135.17,135,140,0.2987,,2.14,317,676.99,133.68,137.14,-2.14,-676.99,-100.0,False,3,0,1,0,1,1,33174.93
AARON.NS,2023-10-05,2023-11-06,135.02,135,140,0.298,,2.11,314,662.59,131.57,137.11,-2.11,-662.59,-100.0,False,3,0,1,0,1,1,32512.34
AARON.NS,2023-10-06,2023-11-07,131.25,130,140,0.3069,,3.83,169,647.06,130.4,133.83,-3.43,-579.15,-89.5,False,3,0,1,0,1,1,31933.19
AARON.NS,2023-10-10,2023-11-09,135.59,135,140,0.3272,,2.22,288,637.95,130.68,137.22,-2.22,-637.95,-100.0,False,3,0,1,0,1,1,31295.24
AARON.NS,2023-10-11,2023-11-10,136.04,135,145,0.3269,,3.85,162,623.86,129.9,138.85,-3.85,-623.86,-100.0,False,3,0,1,0,1,1,30671.38
AARON.NS,2023-10-18,2023-11-20,141.51,140,150,0.3393,,4.04,151,610.04,130.43,144.04,-4.04,-610.04,-100.0,False,3,0,1,0,1,1,30061.35
AARON.NS,2023-10-19,2023-11-21,144.12,145,150,0.3405,,2.03,295,599.98,128.76,147.03,-2.03,-599.98,-100.0,False,3,0,1,0,1,1,29461.36
AARON.NS,2023-10-23,2023-11-23,137.68,140,145,0.3694,,1.85,318,589.04,130.2,141.85,-1.85,-589.04,-100.0,False,3,0,1,0,1,1,28872.33
AARON.NS,2023-10-25,2023-11-24,131.89,130,140,0.4008,,4.15,139,577.37,128.29,134.15,-4.15,-577.37,-100.0,False,3,0,1,0,1,1,28294.96
AARON.NS,2023-10-26,2023-11-28,143.99,145,150,0.4977,,2.09,270,564.01,132.07,147.09,-2.09,-564.01,-100.0,False,3,0,1,0,1,1,27730.95
AARON.NS,2023-10-27,2023-11-29,141.08,140,150,0.5065,,4.1,135,554.02,135.94,144.1,-4.1,-554.02,-100.0,False,3,0,1,0,1,1,27176.93
AARON.NS,2023-11-01,2023-12-04,138.48,140,145,0.5321,,2.04,266,542.06,136.19,142.04,-2.04,-542.06,-100.0,False,3,0,1,0,1,1,26634.87
AARON.NS,2023-11-03,2023-12-06,133.68,135,140,0.6057,,2.06,258,531.07,135.32,137.06,-1.74,-448.31,-84.42,False,4,0,1,1,1,1,26186.56
