Date,Ticker,Type,Entry,Exit,PnL_%,PnL_USD,Capital
2018-08-24,TCS.NS,Equity 1x2 Spread,1607.4793701171875,1663.3729248046875,3.36,322.42,120749.78
2018-08-31,^NSEI,Equity 1x2 Spread,11385.0498046875,11680.5,2.48,237.73,120987.51
2018-09-05,^NSEBANK,Equity 1x2 Spread,28257.572265625,27375.732421875,-0.12,-11.56,120975.95
2018-09-10,TCS.NS,Equity 1x2 Spread,1663.3729248046875,1694.108642578125,1.73,166.9,121142.86
2018-09-12,RELIANCE.NS,Equity 1x2 Spread,583.838623046875,554.4031982421875,-0.12,-11.59,121131.27
2018-09-17,^NSEI,Equity 1x2 Spread,11680.5,11377.75,-0.12,-11.61,121119.65
2018-09-25,TCS.NS,Equity 1x2 Spread,1694.108642578125,1800.888830917434,2.58,249.75,121369.4
2018-11-22,ICICIBANK.NS,Equity 1x2 Spread,343.38311767578125,339.66851806640625,-0.12,-11.65,121357.75
2018-12-07,ICICIBANK.NS,Equity 1x2 Spread,339.66851806640625,339.813232421875,-0.08,-7.51,121350.23
2018-12-17,^NSEBANK,Equity 1x2 Spread,26862.63671875,27015.486328125,0.45,43.59,121393.82
2018-12-20,RELIANCE.NS,Equity 1x2 Spread,511.3124084472656,499.4941101074219,-0.12,-11.65,121382.17
2018-12-31,ICICIBANK.NS,Equity 1x2 Spread,339.5238037109375,347.483642578125,2.22,215.95,121598.12
2019-01-08,^NSEBANK,Equity 1x2 Spread,26714.439453125,27509.1796875,2.85,277.23,121875.35
2019-01-15,ICICIBANK.NS,Equity 1x2 Spread,347.483642578125,359.64044189453125,3.38,328.66,122204.01
2019-01-24,^NSEBANK,Equity 1x2 Spread,27720.078125,27266.083984375,-0.12,-11.7,122192.31
2019-02-04,ICICIBANK.NS,Equity 1x2 Spread,358.9168395996094,342.08056640625,-0.12,-11.73,122180.58
2019-02-08,^NSEI,Equity 1x2 Spread,10849.7998046875,10943.599609375,0.74,72.78,122253.36
2019-02-08,^NSEBANK,Equity 1x2 Spread,27266.083984375,27294.083984375,-0.02,-1.69,122251.67
2019-02-19,TCS.NS,Equity 1x2 Spread,1676.3778076171875,1557.4510498046875,-0.12,-11.73,122239.94
2019-03-12,RELIANCE.NS,Equity 1x2 Spread,547.8300170898438,590.4780384085485,1.1,107.09,122347.03
2019-03-15,ICICIBANK.NS,Equity 1x2 Spread,358.86865234375,384.24366102095314,1.81,176.92,122523.95
2019-03-22,^NSEI,Equity 1x2 Spread,11058.2001953125,11572.7998046875,4.23,413.31,122937.26
2019-03-27,RELIANCE.NS,Equity 1x2 Spread,589.3050537109375,597.2283325195312,1.22,119.85,123057.11
2019-03-28,TCS.NS,Equity 1x2 Spread,1635.6998291015625,1635.536376953125,-0.12,-11.75,123045.37
2019-04-01,ICICIBANK.NS,Equity 1x2 Spread,381.39739990234375,384.24365234375,0.63,61.39,123106.76
2019-04-08,^NSEI,Equity 1x2 Spread,11456.900390625,11604.5,1.17,114.9,123221.66
2019-04-16,ICICIBANK.NS,Equity 1x2 Spread,384.24365234375,392.6859130859375,2.08,204.57,123426.22
2019-04-30,^NSEI,Equity 1x2 Spread,11690.349609375,11748.150390625,0.37,36.91,123463.13
2019-04-30,RELIANCE.NS,Equity 1x2 Spread,593.2003784179688,616.5051879882812,3.81,375.45,123838.58
2019-05-15,TCS.NS,Equity 1x2 Spread,1848.1650390625,1713.29443359375,-0.12,-11.89,123826.69
2019-06-21,ETH-USD,Crypto 1.5x,247.52012634277344,278.0555778503418,18.14,1797.45,125624.14
2019-06-24,TCS.NS,Equity 1x2 Spread,1798.334228515625,1879.3175778675018,4.38,433.57,126057.71
2019-06-25,^NSEI,Equity 1x2 Spread,11922.7001953125,11796.4501953125,-0.12,-11.89,126045.82
2019-06-26,RELIANCE.NS,Equity 1x2 Spread,588.3313598632812,572.8390502929688,-0.12,-11.89,126033.94
2019-06-27,ETH-USD,Crypto 1.5x,294.9102783203125,280.1647644042969,-7.86,-789.92,125244.01
2019-07-09,TCS.NS,Equity 1x2 Spread,1875.6083984375,1758.440185546875,-0.12,-12.1,125231.91
