Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,HV,RSI,Debit/unit,Debit_pct,Units,PnL/unit,PnL_Total,Return_%,Win,M1_Breakout,M2_Regime,F1_RSI,F2_Volume,F3_Trend,FlexScore,Capital
ANIKINDS.NS,2024-12-17,2025-01-31,120.16,120,125,122.12,90.44,0.2199,81.6,2.12,1.766,7911992994401289952978111247956219002695559922317176036640688604683782062080,-2.12,-1.6794165056333582e+76,-100.0,False,1,1,0,1,1,2,8.229140877603455e+77
3PLAND.NS,2024-12-17,2025-01-31,78.16,80,85,81.86,50.88,1.1822,70.9,1.86,2.382,170252978835021782545697442692827952467076353212784330781102696043517050880,-1.86,-3.169506046464374e+74,-100.0,False,1,1,1,1,1,3,1.5530579627675433e+76
63MOONS.NS,2024-12-18,2025-02-01,981.28,980,1010,993.48,734.0,0.4724,86.5,13.48,1.374,27247054368656175799603182039548377835195696291437817729953283046459310080,-13.48,-3.6738299698775655e+74,-100.0,False,1,1,0,1,1,2,1.800176685240007e+76
AGI.NS,2024-12-19,2025-02-03,1274.94,1275,1315,1292.55,764.1,0.6336,76.1,17.55,1.377,62829345603479528376429412961310483614188830851533008635413706943374557184,-17.55,-1.1027552053988434e+75,-100.0,False,1,1,1,0,1,2,5.4035005064543325e+76
ANANTRAJ.NS,2024-12-19,2025-02-03,836.64,835,860,846.43,589.49,0.3061,90.6,11.43,1.366,1354614246540497272382390475459996469674718883311279241904448099037246128128,-11.43,-1.5479575722800976e+76,-100.0,False,1,1,0,1,1,2,7.584992104172478e+77
ASTERDM.NS,2024-12-23,2025-02-05,496.58,495,510,501.89,473.18,0.3666,65.8,6.89,1.387,44996954482781393596185748997349362316235285948433033456984096880249641369600,-6.89,-3.0981699601150926e+77,-100.0,False,1,1,1,1,1,3,1.518103280456395e+79
AMBER.NS,2024-12-23,2025-02-05,6907.8,6910,7115,7000.84,6908.8,0.5627,77.8,90.84,1.315,24877084981154250207228098443510339567488734324728106298515852879640657920,-90.84,-2.259787878602169e+75,-100.0,False,1,1,1,1,1,3,1.107296060515063e+77
AARON.NS,2024-12-23,2025-02-05,195.94,195,200,197.25,176.92,0.6778,72.0,2.25,1.146,81170105814628177255353180354824576195667868196465366547562941685535080448,-2.25,-1.8232831133834068e+74,-100.0,False,1,1,1,1,1,3,8.934087255578692e+75
ASIANHOTNR.NS,2024-12-23,2025-02-05,239.72,240,245,242.21,372.9,0.7135,58.9,2.21,0.92,261045054710777284171665653041060156970391261229453302439768545063585095614464,2.79,7.294860920537753e+77,126.7,True,1,1,1,1,1,3,2.951644516705933e+79
ACUTAAS.NS,2024-12-24,2025-02-06,1148.51,1150,1185,1165.57,1261.14,0.4141,53.5,15.57,1.355,227585835004889870371128424550685673773833532684874097688851658661131452416,19.43,4.422920876255273e+75,124.85,True,1,1,0,1,1,2,1.8155208832204894e+77
AMBER.NS,2024-12-24,2025-02-06,7249.9,7250,7465,7345.22,6954.05,0.5813,81.9,95.22,1.313,23258471922866337015506992537259313133804892234419452004807580066726805504,-95.22,-2.214592121030126e+75,-100.0,False,1,1,0,1,1,2,1.0851501393047617e+77
A2ZINFRA.NS,2024-12-24,2025-02-06,24.06,25,30,26.36,21.11,0.7353,74.4,1.36,5.668,225125340212754062544429899250209715595460107352669059618654522118397493248,-1.36,-3.0700500456961846e+74,-100.0,False,1,1,1,0,1,2,1.5043245223911305e+76
AARON.NS,2024-12-24,2025-02-06,196.44,195,200,197.27,189.38,0.6687,71.5,2.27,1.156,78691098376939988642043054093508037288135574174847756689337895892648198144,-2.27,-1.7868174511157384e+74,-100.0,False,1,1,1,0,1,2,8.755405510467119e+75
ASIANHOTNR.NS,2024-12-24,2025-02-06,263.69,265,270,267.17,365.45,0.7626,63.5,2.17,0.823,272068988619975808984155752080475886442215191748431115819055812299111169785856,2.83,7.700160397586924e+77,130.44,True,1,1,1,1,1,3,3.0286461206818025e+79
AMBER.NS,2024-12-26,2025-02-07,7867.7,7870,8105,7973.24,6894.05,0.6406,93.3,103.24,1.312,21022353115787831943431870887330031320466778631145378646352653143318200320,-103.24,-2.1703002786095236e+75,-100.0,False,1,1,0,1,1,2,1.0634471365186665e+77
ASTERDM.NS,2024-12-26,2025-02-07,498.21,500,515,506.44,466.38,0.2259,62.9,6.44,1.292,47181507046920797150404446368429680258928871182357088413158030737638502170624,-6.44,-3.03620656091279e+77,-100.0,False,1,1,1,0,1,2,1.4877412148472672e+79
ASIANHOTNR.NS,2024-12-26,2025-02-07,276.87,275,285,279.38,365.0,0.7675,70.6,4.38,1.583,138208902944604509826880666219691530573446056670623387599185148415488200540160,5.62,7.763598053096846e+77,128.17,True,1,1,1,1,1,3,3.106282101212771e+79
A2ZINFRA.NS,2024-12-26,2025-02-07,25.26,25,30,26.69,21.16,0.7433,77.3,1.69,6.681,178266639232963237182181684135214854436715047432326294093619615399338311680,-1.69,-3.008649044782261e+74,-100.0,False,1,1,1,0,1,2,1.4742380319433078e+76
360ONE.NS,2024-12-26,2025-02-07,1235.1,1235,1270,1250.86,1001.55,0.3148,75.1,15.86,1.284,31505165402488600737279672030951643981970597491761260281866526932093370368,-15.86,-4.995803314989014e+74,-100.0,False,1,1,1,1,1,3,2.4479436243446165e+76
ASTERDM.NS,2024-12-27,2025-02-10,504.42,505,520,511.61,459.67,0.2187,65.2,6.61,1.311,44990078078118908554828532636157297229829805331663974222602109456894352424960,-6.61,-2.975482429694534e+77,-100.0,False,1,1,1,0,1,2,1.457986390550322e+79
ASIANHOTNR.NS,2024-12-27,2025-02-10,290.71,290,300,294.33,357.7,0.7683,73.3,4.33,1.49,143387684791605348381843932261152296186565820104680206920937863131842557771776,5.67,8.126204276734993e+77,130.8,True,1,1,1,1,1,3,3.187544143980121e+79
A2ZINFRA.NS,2025-01-01,2025-02-13,25.36,25,30,26.73,19.2,0.7905,65.0,1.73,6.813,170660532532198579387017538049155813595420660726494037513692382369612300288,-1.73,-2.948476063886616e+74,-100.0,False,1,1,1,0,1,2,1.4447532713044416e+76
ARIHANTSUP.NS,2025-01-01,2025-02-13,483.09,485,500,491.55,435.26,0.4101,60.4,6.55,1.357,17982955630909354569547324438711136642374509419721819117608674601474296119296,-6.55,-1.1786012399688797e+77,-100.0,False,1,1,1,0,1,2,5.77514607584751e+78
