Ticker,Entry_Date,Exit_Date,Year,S_Entry,S_Exit,Move_%,Return_%,Win
ANANDRATHI.NS,2023-04-12,2023-05-15,2023,202.88,205.97,1.52,76.18,True
ETH-USD,2023-04-13,2023-05-04,2023,2012.63,1877.7,-6.7,-5.0,False
ICICIBANK.NS,2023-05-08,2023-06-06,2023,915.24,919.34,0.45,22.39,True
ANANDRATHI.NS,2023-05-22,2023-06-20,2023,211.21,211.73,0.25,12.31,True
ANANTRAJ.NS,2023-05-30,2023-06-28,2023,149.85,175.73,17.27,191.56,True
ABB.NS,2023-05-30,2023-06-28,2023,3956.64,4331.24,9.47,228.73,True
NIFTY50,2023-06-01,2023-07-03,2023,18487.75,19322.55,4.52,225.77,True
ICICIBANK.NS,2023-06-07,2023-07-07,2023,917.49,923.54,0.66,32.97,True
BHARTIARTL.NS,2023-06-16,2023-07-18,2023,822.47,859.43,4.49,224.7,True
BTC-USD,2023-07-03,2023-07-24,2023,31156.44,29176.92,-6.35,-5.0,False
BHARTIARTL.NS,2023-07-24,2023-08-23,2023,871.9,856.18,-1.8,-5.0,False
ICICIBANK.NS,2023-08-25,2023-09-26,2023,954.75,933.4,-2.24,-5.0,False
TITAN.NS,2023-08-29,2023-09-28,2023,3050.14,3127.25,2.53,126.4,True
BHARTIARTL.NS,2023-09-06,2023-10-09,2023,868.16,911.8,5.03,249.87,True
ABB.NS,2023-09-06,2023-10-09,2023,4424.43,4030.59,-8.9,-5.0,False
NIFTY50,2023-09-06,2023-10-09,2023,19611.05,19512.35,-0.5,-5.0,False
ANANDRATHI.NS,2023-09-14,2023-10-17,2023,346.07,439.92,27.12,144.68,True
BHARTIARTL.NS,2023-10-10,2023-11-09,2023,935.28,919.5,-1.69,-5.0,False
ANANTRAJ.NS,2023-11-10,2023-12-13,2023,246.89,287.29,16.36,195.9,True
ABREL.NS,2023-11-10,2023-12-13,2023,1165.59,1283.06,10.08,225.82,True
BHARTIARTL.NS,2023-11-15,2023-12-15,2023,936.9,978.87,4.48,223.95,True
ANANDRATHI.NS,2023-11-17,2023-12-19,2023,537.29,628.45,16.97,193.02,True
TITAN.NS,2023-11-20,2023-12-20,2023,3314.06,3520.33,6.22,244.17,True
NIFTY50,2023-11-22,2023-12-22,2023,19811.85,21349.4,7.76,236.85,True
BTC-USD,2023-12-01,2023-12-22,2023,38688.75,43997.9,13.72,208.46,True
ETH-USD,2023-12-02,2023-12-23,2023,2165.7,2309.05,6.62,242.29,True
ABB.NS,2024-01-04,2024-02-06,2024,4743.41,4328.77,-8.74,-5.0,False
TITAN.NS,2024-01-05,2024-02-07,2024,3677.27,3542.52,-3.66,-5.0,False
NIFTY50,2024-01-05,2024-02-07,2024,21710.8,21930.5,1.01,50.6,True
ANANDRATHI.NS,2024-01-11,2024-02-13,2024,692.34,831.89,20.16,177.83,True
BTC-USD,2024-02-09,2024-03-01,2024,47147.2,62440.63,32.44,119.34,True
ETH-USD,2024-02-12,2024-03-04,2024,2658.12,3630.43,36.58,99.62,True
RELIANCE.NS,2024-02-19,2024-03-20,2024,1456.44,1426.55,-2.05,-5.0,False
NIFTY50,2024-02-23,2024-03-27,2024,22212.7,22123.65,-0.4,-5.0,False
ANANDRATHI.NS,2024-02-26,2024-03-28,2024,911.4,912.63,0.14,6.78,True
ICICIBANK.NS,2024-02-27,2024-04-01,2024,1043.1,1081.92,3.72,186.05,True
RELIANCE.NS,2024-03-28,2024-05-02,2024,1468.15,1449.08,-1.3,-5.0,False
TITAN.NS,2024-03-28,2024-05-02,2024,3765.67,3534.54,-6.14,-5.0,False
BHARTIARTL.NS,2024-03-28,2024-05-02,2024,1211.66,1286.07,6.14,244.57,True
ICICIBANK.NS,2024-04-02,2024-05-06,2024,1063.76,1127.81,6.02,245.14,True
NIFTY50,2024-04-02,2024-05-06,2024,22453.3,22442.7,-0.05,-5.0,False
BTC-USD,2024-04-08,2024-04-29,2024,71631.36,63841.12,-10.88,-5.0,False
ABB.NS,2024-04-12,2024-05-15,2024,6639.11,7976.42,20.14,177.89,True
ANANTRAJ.NS,2024-04-22,2024-05-23,2024,350.37,383.58,9.48,228.67,True
ANANTRAJ.NS,2024-05-24,2024-06-25,2024,379.44,440.88,16.19,196.71,True
NIFTY50,2024-05-28,2024-06-27,2024,22888.15,24044.5,5.05,249.75,True
ANANDRATHI.NS,2024-05-28,2024-06-27,2024,1018.38,957.04,-6.02,-5.0,False
ICICIBANK.NS,2024-06-24,2024-07-24,2024,1151.23,1203.28,4.52,226.05,True
BHARTIARTL.NS,2024-06-24,2024-07-24,2024,1400.23,1435.14,2.49,124.67,True
RELIANCE.NS,2024-06-26,2024-07-26,2024,1495.98,1491.04,-0.33,-5.0,False
NIFTY50,2024-06-28,2024-07-30,2024,24010.6,24857.3,3.53,176.32,True
ABREL.NS,2024-07-02,2024-08-01,2024,2375.76,2289.9,-3.61,-5.0,False
ANANDRATHI.NS,2024-07-09,2024-08-08,2024,1020.02,887.41,-13.0,-5.0,False
BHARTIARTL.NS,2024-07-26,2024-08-27,2024,1493.52,1510.13,1.11,55.59,True
NIFTY50,2024-08-02,2024-09-03,2024,24717.7,25279.85,2.27,113.71,True
ABREL.NS,2024-08-22,2024-09-20,2024,2329.2,2768.89,18.88,183.92,True
INFY.NS,2024-08-22,2024-09-20,2024,1767.4,1791.37,1.36,67.81,True
ICICIBANK.NS,2024-08-27,2024-09-25,2024,1216.96,1313.71,7.95,235.95,True
BHARTIARTL.NS,2024-08-28,2024-09-26,2024,1543.45,1756.42,13.8,208.1,True
NIFTY50,2024-09-04,2024-10-04,2024,25198.7,25014.6,-0.73,-5.0,False
ANANTRAJ.NS,2024-09-11,2024-10-11,2024,619.15,749.3,21.02,173.72,True
TITAN.NS,2024-09-19,2024-10-21,2024,3757.28,3342.19,-11.05,-5.0,False
ANANDRATHI.NS,2024-12-03,2025-01-02,2024,1044.88,976.52,-6.54,-5.0,False
ICICIBANK.NS,2024-12-04,2025-01-03,2024,1305.97,1255.36,-3.88,-5.0,False
INFY.NS,2024-12-12,2025-01-13,2024,1889.01,1865.43,-1.25,-5.0,False
ANANTRAJ.NS,2024-12-16,2025-01-15,2024,786.25,894.17,13.73,208.45,True
BTC-USD,2025-05-10,2025-05-31,2025,104696.33,104638.09,-0.06,-5.0,False
BHARTIARTL.NS,2025-05-12,2025-06-10,2025,1855.29,1841.7,-0.73,-5.0,False
ICICIBANK.NS,2025-05-26,2025-06-24,2025,1449.42,1413.2,-2.5,-5.0,False
AIIL.NS,2025-05-28,2025-06-26,2025,464.4,529.28,13.97,207.28,True
BHARTIARTL.NS,2025-06-18,2025-07-17,2025,1850.43,1913.9,3.43,171.5,True
