Entry Date,Exit Date,Entry Price,Exit Price,Profit,Return %,Stock
2024-08-08,2024-08-27,61710.13671875,59504.1328125,-319311.326480601,-3.96009886042957,BTC-USD
2024-09-13,2024-09-30,60571.30078125,63329.5,320275.8219620418,4.135844045676294,BTC-USD
2024-10-11,2024-11-25,62445.08984375,93102.296875,3911037.377847107,48.49888170345659,BTC-USD
2024-11-27,2024-12-18,95962.53125,100041.5390625,459134.6435126737,3.834039988817252,BTC-USD
2025-01-06,2025-01-07,102078.0859375,96922.703125,-675166.568611538,-5.429849005575158,BTC-USD
2025-01-15,2025-02-24,100504.4921875,91418.171875,-1105855.4817428384,-9.404183953966612,BTC-USD
2025-03-02,2025-03-03,94248.3515625,86065.671875,-963801.130452875,-9.046946679654285,BTC-USD
2025-04-01,2025-04-02,85169.171875,82485.7109375,-342791.49161745235,-3.5377517147030977,BTC-USD
2025-04-09,2025-05-23,82573.953125,107287.796875,2748889.4322993997,29.410147866997242,BTC-USD
2025-06-06,2025-08-14,104390.34375,118359.578125,1563802.1695507634,12.928657015570455,BTC-USD
2025-08-22,2025-08-25,116874.0859375,110124.3515625,-840292.749832416,-6.151741188965172,BTC-USD
2025-09-10,2025-09-22,113955.359375,112748.5078125,-186444.65793580748,-1.4544244419998293,BTC-USD
2025-09-28,2025-10-07,112122.640625,121451.3828125,996375.3283865172,7.887276300741567,BTC-USD
2025-12-02,2026-01-07,91350.203125,91308.0546875,-60724.99523432739,-0.44555502900668326,BTC-USD
2026-01-13,2026-01-20,95321.78125,88310.90625,-1048176.9100107104,-7.72516552335722,BTC-USD
2026-02-06,2026-02-23,70555.390625,64616.73828125,-1099642.741521893,-8.782972888433177,BTC-USD
2026-02-25,2026-03-18,67960.125,71245.578125,504269.22919403575,4.415465384756862,BTC-USD
2026-03-23,2026-04-12,70914.859375,70753.40625,-74692.36641819961,-0.6263620069048551,BTC-USD
2026-04-13,2026-05-22,74484.640625,75488.2421875,111676.4991892539,0.9424097919096924,BTC-USD
2017-12-11,2017-12-22,515.135986328125,674.8599853515625,30482.680824001174,30.482680824001175,ETH-USD
2018-01-02,2018-01-16,884.4439697265625,1053.68994140625,24347.800019476155,18.659794438403036,ETH-USD
2018-01-28,2018-01-30,1246.010009765625,1071.1300048828125,-22262.63509042439,-14.378715979659287,ETH-USD
2018-04-12,2018-04-25,492.9410095214844,615.416015625,32276.147137662803,24.34688966567861,ETH-USD
2018-04-26,2018-05-22,662.8090209960938,647.7410278320312,-4391.228589976527,-2.663869342747428,ETH-USD
2018-05-29,2018-06-10,565.3880004882812,526.47900390625,-11639.118973373872,-7.253922376531004,ETH-USD
2018-06-14,2018-06-22,519.7420043945312,465.8169860839844,-15972.888268154726,-10.733483635198251,ETH-USD
2018-07-16,2018-07-31,480.6579895019531,433.86700439453125,-13410.908318235277,-10.095477182697538,ETH-USD
2018-08-17,2018-08-20,315.72900390625,274.31500244140625,-16080.190350871824,-13.464130215677692,ETH-USD
2018-09-01,2018-09-05,295.34100341796875,232.33099365234375,-22374.178248040378,-21.64901035626729,ETH-USD
2018-09-13,2018-09-17,211.35400390625,197.875,-5467.115797332095,-6.75156947231508,ETH-USD
2018-09-21,2018-10-11,246.58399963378906,189.49899291992188,-17712.31423378634,-23.45742009841629,ETH-USD
2018-10-15,2018-10-29,209.70399475097656,197.2469940185547,-3650.479942862803,-6.316140870968481,ETH-USD
2018-11-04,2018-11-14,207.48599243164062,181.39700317382812,-6997.346041224519,-12.923210559059475,ETH-USD
2018-12-17,2018-12-27,95.13382720947266,116.57591247558594,10395.806279174365,22.04920009543377,ETH-USD
2018-12-28,2019-01-10,137.6470184326172,128.62518310546875,-3986.4983054237528,-6.927735643984175,ETH-USD
2019-01-14,2019-01-28,129.0687255859375,106.58997344970703,-9504.381735107745,-17.74611592866851,ETH-USD
2019-02-08,2019-02-24,119.26774597167969,135.8526611328125,5925.346737728585,13.45044948787353,ETH-USD
2019-03-05,2019-03-21,137.8223876953125,136.6360626220703,-628.1917652413686,-1.2569240806578486,ETH-USD
2019-03-27,2019-04-11,140.9881591796875,165.4970245361328,8347.391371139936,16.914568844044254,ETH-USD
2019-04-30,2019-05-17,162.16603088378906,243.76458740234375,28685.701797407957,49.717239046857934,ETH-USD
2019-05-19,2019-06-03,261.2922058105469,252.60792541503906,-3204.745014777014,-3.7099084664220037,ETH-USD
2019-06-10,2019-06-27,247.52012634277344,294.26763916015625,15314.25338789259,18.411278308815113,ETH-USD
2019-08-05,2019-08-09,234.21502685546875,210.48890686035156,-10331.097412211893,-10.489179108943878,ETH-USD
2019-09-07,2019-09-23,178.2626190185547,201.9213104248047,11301.624926766555,12.81918440086079,ETH-USD
2019-10-07,2019-10-11,181.18634033203125,182.56968688964844,358.90676523328875,0.360842924255788,ETH-USD
2019-10-25,2019-11-15,181.52320861816406,180.52117919921875,-947.7191956803435,-0.9494058991930686,ETH-USD
2019-12-18,2020-02-15,133.09219360351562,264.72857666015625,97007.21139103282,98.11133480398013,ETH-USD
2020-04-06,2020-04-10,169.13587951660156,158.41244506835938,-13152.27949340822,-6.714394728778206,ETH-USD
2020-04-16,2020-04-30,172.15737915039062,207.60205078125,36740.80474927128,20.10665706388278,ETH-USD
2020-05-28,2020-05-31,219.84042358398438,230.9757080078125,10195.114768287982,4.645326518272272,ETH-USD
2020-06-01,2020-06-11,246.99176025390625,231.70266723632812,-15077.508400253748,-6.56498696927606,ETH-USD
2020-06-22,2020-06-24,242.53318786621094,235.7724609375,-6815.331141206698,-3.1760080962059303,ETH-USD
2020-07-06,2020-08-21,241.51022338867188,389.1263427734375,125657.26483258506,60.478255731634576,ETH-USD
2020-08-30,2020-09-02,428.3957214355469,440.0404968261719,7694.783983949979,2.3077666443956373,ETH-USD
2020-09-24,2020-10-06,349.3555908203125,340.81585693359375,-9668.348989295366,-2.834256646008056,ETH-USD
2020-10-09,2020-11-26,365.5904846191406,518.8011474609375,137026.2488391148,41.34066388899393,ETH-USD
2020-12-16,2020-12-23,636.1818237304688,583.714599609375,-40354.386666228995,-8.613849943054932,ETH-USD
2020-12-27,2021-01-11,682.642333984375,1090.1453857421875,252838.88316609565,59.056816538661124,ETH-USD
2021-01-24,2021-02-22,1391.609375,1781.992919921875,187544.92950773356,27.54096861512356,ETH-USD
2021-03-13,2021-04-03,1924.6854248046875,2028.4224853515625,43153.59353374061,4.968681274505644,ETH-USD
2021-04-13,2021-05-12,2299.187744140625,3785.8486328125,583486.7949981394,64.00228260111814,ETH-USD
2021-07-21,2021-09-07,1990.9708251953125,3426.394287109375,1067672.7997983969,71.40896151520967,ETH-USD
2021-09-22,2021-11-16,3077.867919921875,4216.365234375,933954.8264538036,36.442392856319614,ETH-USD
2021-11-19,2021-12-13,4298.306640625,3784.226806640625,-430518.7491128091,-12.311862520510214,ETH-USD
2022-02-04,2022-02-17,2983.5869140625,2881.48193359375,-116767.74362615217,-3.808147225068935,ETH-USD
2022-02-28,2022-03-04,2919.201171875,2617.156005859375,-315746.1478405306,-10.705097148694229,ETH-USD
2022-03-16,2022-04-06,2772.0556640625,3171.69189453125,367655.1528474218,13.959393192382832,ETH-USD
2022-05-04,2022-05-05,2940.644775390625,2749.213134765625,-206599.7198152258,-6.883439237730945,ETH-USD
2022-05-30,2022-06-01,1996.4412841796875,1823.5693359375,-252203.1038395064,-9.024003497434109,ETH-USD
2022-07-04,2022-07-11,1151.05908203125,1097.236572265625,-128574.87019666936,-5.0568270575374585,ETH-USD
2022-07-13,2022-07-25,1113.587158203125,1445.3834228515625,706744.5150231691,29.276604896987735,ETH-USD
2022-07-27,2022-08-19,1636.232666015625,1612.9873046875,-56629.06236455683,-1.8145865936020078,ETH-USD
2022-08-29,2022-09-13,1553.037353515625,1580.7879638671875,42288.8180117188,1.3801201625594783,ETH-USD
2022-10-23,2022-11-08,1363.447021484375,1332.8355712890625,-81878.63095936459,-2.6357797972273826,ETH-USD
2022-11-10,2022-12-03,1299.464599609375,1243.3348388671875,-142208.0822797427,-4.701792320981054,ETH-USD
2022-12-08,2022-12-15,1281.1163330078125,1266.3538818359375,-44598.68252216512,-1.5473068895430806,ETH-USD
2022-12-20,2023-01-24,1217.70361328125,1556.604248046875,775280.4786381647,27.320313462319625,ETH-USD
2023-01-29,2023-01-30,1646.1556396484375,1567.3265380859375,-186762.38594463095,-5.169142963107917,ETH-USD
2023-02-15,2023-03-03,1673.7459716796875,1569.1676025390625,-226914.2924273298,-6.622794901733442,ETH-USD
2023-03-11,2023-04-19,1482.61669921875,1936.4034423828125,962531.5574957179,30.08524558257988,ETH-USD
2023-05-05,2023-05-06,1995.0609130859375,1900.2218017578125,-213683.3264155672,-5.13429925753536,ETH-USD
2023-05-23,2023-05-24,1854.380615234375,1800.0999755859375,-130885.07739607664,-3.315060492212338,ETH-USD
2023-05-28,2023-06-05,1910.9141845703125,1811.828369140625,-212400.3922516643,-5.5641369168381525,ETH-USD
2023-06-06,2023-06-10,1884.494873046875,1752.384765625,-266112.9950210494,-7.3819588970488095,ETH-USD
2023-06-21,2023-06-28,1891.0072021484375,1827.97119140625,-124194.63513383083,-3.719741709239948,ETH-USD
2023-06-30,2023-07-06,1933.18896484375,1848.636474609375,-152881.80343017168,-4.755853838341398,ETH-USD
2023-07-13,2023-07-14,2006.511474609375,1939.3470458984375,-114310.80283203023,-3.7335475253602555,ETH-USD
2023-08-29,2023-08-31,1729.7257080078125,1645.63916015625,-154486.70638353145,-5.241439236048947,ETH-USD
2023-09-12,2023-10-02,1592.429443359375,1663.6275634765625,113213.14136370644,4.05357139323927,ETH-USD
2023-10-16,2023-11-14,1600.5343017578125,1979.0526123046875,672927.3380197091,23.15539353958719,ETH-USD
2023-11-22,2023-12-11,2064.42529296875,2224.578857421875,262244.43096901104,7.327179523233887,ETH-USD
2023-12-27,2024-01-03,2378.739990234375,2210.761962890625,-285525.2310497677,-7.433020543369246,ETH-USD
