Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
NIBL.NS,2025-08-07 00:00:00+05:30,2025-09-22 00:00:00+05:30,23.04999924,30.14999962,12479279.85,3843943.366,30.80260571,UT Sell,255426213.2,255526213.2
UNITEDTEA.NS,2025-07-11 00:00:00+05:30,2025-09-23 00:00:00+05:30,458.4302979,473.7495728,13580643.85,453821.6987,3.341680289,UT Sell,255880034.9,255980034.9
CHOLAHLDNG.NS,2025-09-11 00:00:00+05:30,2025-09-23 00:00:00+05:30,1881.099976,1922.400024,11682319.93,256488.4323,2.19552652,UT Sell,256136523.3,256236523.3
PATINTLOG.NS,2025-09-23 00:00:00+05:30,2025-09-24 00:00:00+05:30,15.89999962,15.06000042,12986636.96,-686085.8429,-5.283013956,Stop Loss,255450437.5,255550437.5
SPAL.NS,2025-08-28 00:00:00+05:30,2025-09-25 00:00:00+05:30,736.25,703.3499756,12916282.18,-577176.2298,-4.468594148,Stop Loss,254873261.2,254973261.2
ASHOKA.NS,2025-09-01 00:00:00+05:30,2025-09-25 00:00:00+05:30,184.3300018,189.3000031,11750323.05,316818.3113,2.696251924,UT Sell,255190079.6,255290079.6
SIGACHI.NS,2025-09-01 00:00:00+05:30,2025-09-25 00:00:00+05:30,32.13655853,38.99000168,11750323.05,2505874.14,21.32600209,UT Sell,257695953.7,257795953.7
BCG.NS,2025-09-25 00:00:00+05:30,2025-09-26 00:00:00+05:30,14.93000031,14.22000027,12887481.5,-612867.5265,-4.755525945,Stop Loss,257083086.2,257183086.2
INDUSINDBK.NS,2025-09-23 00:00:00+05:30,2025-09-26 00:00:00+05:30,755.25,712.75,12986636.96,-730793.8705,-5.627275737,Stop Loss,256352292.3,256452292.3
PARADEEP.NS,2025-09-19 00:00:00+05:30,2025-09-26 00:00:00+05:30,179.6699982,182.4499969,12875969.11,199227.3545,1.547280463,UT Sell,256551519.6,256651519.6
INDIANCARD.NS,2025-09-05 00:00:00+05:30,2025-09-26 00:00:00+05:30,276.0499878,261.6499939,12708296.52,-662921.2115,-5.216444316,Stop Loss,255888598.4,255988598.4
MAYURUNIQ.NS,2025-05-09 00:00:00+05:30,2025-09-26 00:00:00+05:30,527.4118042,509.5,10955945.59,-372082.5941,-3.396170517,UT Sell,255516515.8,255616515.8
LICI.NS,2025-09-15 00:00:00+05:30,2025-09-26 00:00:00+05:30,883.7000122,872.4500122,12668319.52,-161274.8587,-1.27305645,UT Sell,255355241,255455241
SANGAMIND.NS,2025-08-28 00:00:00+05:30,2025-10-01 00:00:00+05:30,370.7446594,420.8500061,12916282.18,1745607.874,13.51478583,UT Sell,257100848.9,257200848.9
CHOLAHLDNG.NS,2025-09-29 00:00:00+05:30,2025-10-03 00:00:00+05:30,1937.300049,1841.199951,12232774,-606808.83,-4.960516969,Stop Loss,256494040,256594040
BLBLIMITED.NS,2025-07-29 00:00:00+05:30,2025-10-06 00:00:00+05:30,15.48999977,15.88000011,12928065.96,325497.1101,2.517755643,UT Sell,256819537.1,256919537.1
NEXTMEDIA.NS,2025-10-01 00:00:00+05:30,2025-10-06 00:00:00+05:30,6.920000076,6.610000134,14661890.06,-656818.6457,-4.47976791,Stop Loss,256162718.5,256262718.5
ADVENZYMES.NS,2025-08-28 00:00:00+05:30,2025-10-08 00:00:00+05:30,324.1499939,310.1499939,12916282.18,-557852.7039,-4.318988204,Stop Loss,255604865.8,255704865.8
LICI.NS,2025-09-29 00:00:00+05:30,2025-10-08 00:00:00+05:30,895.0499878,893.7999878,12232774,-17083.92571,-0.139657004,UT Sell,255587781.9,255687781.9
SCI.NS,2025-10-03 00:00:00+05:30,2025-10-08 00:00:00+05:30,222.9913635,212.2422028,11625965.17,-560422.4608,-4.820438154,Stop Loss,255027359.4,255127359.4
HEADSUP.NS,2025-10-08 00:00:00+05:30,2025-10-09 00:00:00+05:30,11.72000027,10.64000034,11879887.42,-1094733.551,-9.215016204,Stop Loss,253932625.9,254032625.9
ASHOKA.NS,2025-10-09 00:00:00+05:30,2025-10-13 00:00:00+05:30,191.5399933,189.8099976,10785153.87,-97411.87621,-0.903203398,UT Sell,253835214,253935214
DIL.NS,2025-09-22 00:00:00+05:30,2025-10-13 00:00:00+05:30,2.109999895,2,16323223.21,-850972.9527,-5.21326543,Stop Loss,252984241,253084241
JINDRILL.NS,2025-09-26 00:00:00+05:30,2025-10-13 00:00:00+05:30,606.0499878,580.75,12232774,-510665.8512,-4.174571125,Stop Loss,252473575.2,252573575.2
BCG.NS,2025-10-08 00:00:00+05:30,2025-10-13 00:00:00+05:30,14.75,14.02000046,11879887.42,-587953.3816,-4.949149439,Stop Loss,251885621.8,251985621.8
KARURVYSYA.NS,2025-09-29 00:00:00+05:30,2025-10-14 00:00:00+05:30,213.8800049,221.1799927,12232774,417519.6317,3.413123072,UT Sell,252303141.4,252403141.4
